alim_code;alim_nom_fr;alim_carbo;alim_image_url;code
20810;Cresson, feuille, cru, prélevé à la Martinique;traces;;20810
6105;Boeuf, faux-filet, rôti/cuit au four;traces;;6105
6131;Boeuf, hampe, grillée/poêlée;traces;;6131
6141;Boeuf, joue, braisée ou bouillie;traces;;6141
6151;Boeuf, jarret, bouilli/cuit à l'eau;traces;;6151
6161;Boeuf, tende de tranche, grillée/poêlée;traces;;6161
6162;Boeuf, tende de tranche, rôtie/cuite au four;traces;;6162
6200;Boeuf, steak ou bifteck, grillé;traces;;6200
6205;Boeuf, onglet, grillé;traces;;6205
6207;Boeuf, rumsteck, grillé;traces;;6207
6208;Boeuf, boule de macreuse, grillée/poêlée;traces;;6208
6211;Boeuf, bavette d'aloyau, grillée/poêlée;traces;;6211
6214;Boeuf, boule de macreuse, rôtie/cuite au four;traces;;6214
6230;Boeuf, à bourguignon ou pot-au-feu, cuit;traces;;6230
6241;Boeuf, collier, braisé;traces;;6241
6310;Boeuf, queue, bouillie/cuite à l'eau;traces;;6310
6512;Veau, carré, sauté/poêlé;traces;;6512
6520;Veau, escalope, cuite;traces;;6520
6523;Veau, noix, grillée/poêlée;traces;;6523
6524;Veau, noix, rôtie;traces;;6524
6562;Veau, épaule, grillée/poêlée;traces;;6562
6563;Veau, épaule, braisée ou bouillie;traces;;6563
6581;Veau, jarret, braisé ou bouilli;traces;;6581
6582;Veau, tête, bouillie/cuite à l'eau;traces;;6582
6591;Veau, collier, braisé ou bouilli;traces;;6591
28009;Porc, palette, crue;traces;;28009
28103;Porc, rouelle de jambon, cuite;traces;;28103
28203;Porc, filet mignon, cuit;traces;;28203
28461;Porc, escalope de jambon, cuite;traces;;28461
21501;Agneau, côtelette, grillée;traces;;21501
21508;Agneau, collier, braisé ou bouilli;traces;;21508
21509;Agneau, côte filet, grillée/poêlée;traces;;21509
21518;Agneau, gigot, grillé/poêlé;traces;;21518
21519;Agneau, gigot, braisé;traces;;21519
21520;Agneau, selle, partie maigre, grillée/poêlée;traces;;21520
6906;Cheval, tende de tranche, grillée/poêlée;traces;;6906
6907;Cheval, faux-filet, grillé/poêlé;traces;;6907
6908;Cheval, entrecôte, grillée/poêlée;traces;;6908
6909;Cheval, faux-filet, rôti/cuit au four;traces;;6909
6910;Cheval, tende de tranche, rôtie/cuite au four;traces;;6910
36205;Canard, magret, grillé/poêlé;traces;;36205
6001;Boeuf, côte, crue;traces;;6001
6536;Veau, steak haché 15% MG, cru;traces;;6536
6580;Veau, pied, cru;traces;;6580
6590;Veau, collier, cru;traces;;6590
36020;Poulet éviscéré sans abats, cru;traces;;36020
21001;Mouton, viande, crue;traces;;21001
21004;Mouton, pied, cru;traces;;21004
21005;Mouton, tête, crue;traces;;21005
21006;Mouton, gigot, cru;traces;;21006
21514;Agneau, collier, cru;traces;;21514
6903;Cheval, tende de tranche, crue;traces;;6903
6904;Cheval, faux-filet, cru;traces;;6904
6905;Cheval, entrecôte, crue;traces;;6905
36203;Canard, cuisse avec peau, sans os, crue;traces;;36203
8010;Rillettes de Tours;traces;;8010
8025;Rillettes pur oie;traces;;8025
8109;Confit de canard, viande (cuisse), sans peau, réchauffé;traces;;8109
8501;Andouille de Guéméné;traces;;8501
8512;Andouille de Vire;traces;;8512
26003;Carrelet ou plie, cuit à la vapeur;traces;;26003
26008;Églefin, cuit à la vapeur;traces;;26008
26012;Hareng, frit;traces;;26012
26014;Hareng, grillé/poêlé;traces;;26014
26015;Lieu noir, cuit;traces;;26015
26017;Limande-sole, cuite à la vapeur;traces;;26017
26019;Maquereau, rôti/cuit au four;traces;;26019
26020;Maquereau, frit;traces;;26020
26021;Merlan, frit;traces;;26021
26022;Merlan, cuit à la vapeur;traces;;26022
26023;Cabillaud, rôti/cuit au four;traces;;26023
26024;Morue, salée, bouillie/cuite à l'eau;traces;;26024
26025;Cabillaud, cuit à la vapeur;traces;;26025
26026;Mulet, rôti/cuit au four;traces;;26026
26031;Raie, rôtie/cuite au four;traces;;26031
26033;Roussette ou petite roussette ou saumonette, cuite;traces;;26033
26038;Saumon, cuit à la vapeur;traces;;26038
26041;Thon, rôti/cuit au four;traces;;26041
26059;Sole, cuite à la vapeur;traces;;26059
26060;Sole, rôtie/cuite au four;traces;;26060
26061;Sole, bouillie/cuite à l'eau;traces;;26061
26062;Sole, frite;traces;;26062
26073;Raie, cuite au court-bouillon;traces;;26073
26081;Lotte ou baudroie, grillée/poêlée;traces;;26081
26093;Espadon, rôti/cuit au four;traces;;26093
26094;Turbot, rôti/cuit au four;traces;;26094
26120;Merlu, cuit à l'étouffée;traces;;26120
26126;Églefin, grillé/poêlé;traces;;26126
26136;Sardine, grillée;traces;;26136
26147;Vivaneau, cuit;traces;;26147
26148;Rascasse, cuite à la vapeur;traces;;26148
26192;Lieu jaune ou colin, cuit;traces;;26192
26211;Saumon, cuit au micro-ondes, élevage;traces;;26211
26217;Saumon, bouilli/cuit à l'eau, élevage;traces;;26217
26222;Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four;traces;;26222
26229;Saumon, grillé/poêlé;traces;;26229
26230;Saumon, élevage, rôti/cuit au four;traces;;26230
26234;Julienne ou Lingue, cuite;traces;;26234
26247;Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur;traces;;26247
26248;Sole, poêlée;traces;;26248
27000;Anguille, rôtie/cuite au four;traces;;27000
27001;Anguille, bouillie/cuite à l'eau;traces;;27001
27002;Brochet, rôti/cuit au four;traces;;27002
27004;Carpe, rôtie/cuite au four;traces;;27004
27005;Perche, rôtie/cuite au four;traces;;27005
27006;Truite, rôtie/cuite au four;traces;;27006
27007;Truite, cuite à la vapeur;traces;;27007
27014;Truite arc en ciel, élevage, rôtie/cuite au four;traces;;27014
27015;Truite arc en ciel, élevage, cuite à la vapeur;traces;;27015
27018;Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit;traces;;27018
27030;Bar commun ou loup, rôti/cuit au four;traces;;27030
27031;Dorade (Daurade) royale, cuite au four;traces;;27031
26001;Bar rayé ou bar d'Amérique, cru;traces;;26001
26006;Lieu ou colin d'Alaska, cru;traces;;26006
26009;Flétan de l'Atlantique ou flétan blanc, cru;traces;;26009
26011;Hareng, cru;traces;;26011
26018;Lotte ou baudroie, crue;traces;;26018
26036;Saumon, cru, élevage;traces;;26036
26042;Turbot sauvage, cru;traces;;26042
26043;Cabillaud, cru;traces;;26043
26044;Merlu, cru;traces;;26044
26047;Lieu noir, surgelé, cru;traces;;26047
26048;Merlu, filet, surgelé, cru;traces;;26048
26051;Maquereau, cru;traces;;26051
26052;Raie, crue;traces;;26052
26053;Thon, cru;traces;;26053
26055;Carrelet ou plie, cru;traces;;26055
26057;Limande, crue;traces;;26057
26058;Sole, crue;traces;;26058
26063;Rascasse, crue;traces;;26063
26064;Thon albacore ou thon jaune, cru;traces;;26064
26065;Sardine, crue;traces;;26065
26068;Thon listao ou Bonite à ventre rayé, cru;traces;;26068
26069;Thon rouge, cru;traces;;26069
26072;Bar commun ou loup, cru, sans précision;traces;;26072
26074;Roussette ou petite roussette ou saumonette, crue;traces;;26074
26075;Bar ou loup de l'Atlantique, cru;traces;;26075
26076;Thon germon ou thon blanc, cru;traces;;26076
26079;Anchois commun, cru;traces;;26079
26080;Dorade royale, ou daurade ou vraie daurade, crue, sauvage;traces;;26080
26082;Espadon, cru;traces;;26082
26083;Éperlan, cru;traces;;26083
26084;Cardine franche, crue;traces;;26084
26085;Rouget-barbet de roche, cru;traces;;26085
26088;Dorade royale ou daurade ou vraie daurade, crue, élevage;traces;;26088
26091;Mulet, cru;traces;;26091
26092;Truite de mer, crue;traces;;26092
26095;Merlan, cru;traces;;26095
26098;Morue, salée, sèche;traces;;26098
26099;Dorade grise, ou daurade grise, ou griset, crue;traces;;26099
26100;Bogue, crue;traces;;26100
26101;Bonite, crue;traces;;26101
